userId,group,trialNo,userInput,shubNo
15b6a535152f4a0780c4ac17381395eb,0,3,40,40
c73a172ee44f4005aeafc8bae23faa70,1,3,8,8
c73a172ee44f4005aeafc8bae23faa70,1,7,10,10
9711c8bb53bd4fd99042b2d0c0dfbab2,0,3,8,8
9711c8bb53bd4fd99042b2d0c0dfbab2,0,7,10,10
964e4aaba5d046a3a473169b6eb5afd5,0,3,8,8
964e4aaba5d046a3a473169b6eb5afd5,0,7,33,33
7e4b4fe85d6b445597e0d7e71a6f00c8,1,3,8,8
e945b7829bd64551b39e4f963525b019,0,3,9,9
7e4b4fe85d6b445597e0d7e71a6f00c8,1,7,2,2
e945b7829bd64551b39e4f963525b019,0,7,4,4
bc4b84f131c24fafad926ce4429c0dfe,1,3,9,9
11b5161128cc450d9f1238ed44c4cec2,1,3,18,18
bc4b84f131c24fafad926ce4429c0dfe,1,7,2,2
11b5161128cc450d9f1238ed44c4cec2,1,7,14,14
8b74dcaa6c5c4c77876c54e0bdb3690a,0,3,12,15
8b74dcaa6c5c4c77876c54e0bdb3690a,0,7,31,31
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,3,21,21
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,7,2,2
cafb3506f7744a4ea4d7266f22c66cb7,0,3,16,18
d347bed5f2f443bc946248b77506e62b,0,3,25,25
d347bed5f2f443bc946248b77506e62b,0,7,47,47
cafb3506f7744a4ea4d7266f22c66cb7,0,7,52,52
1d369fce0bcf4c15bd1a306baa4f478f,0,3,18,18
1d369fce0bcf4c15bd1a306baa4f478f,0,7,14,14
3780c9be3ae54816a437a1edac89f3a4,1,3,15,15
3780c9be3ae54816a437a1edac89f3a4,1,7,11,11
1a4bcae1b2bc4821977aa9b2950e3728,1,3,8,8
1a4bcae1b2bc4821977aa9b2950e3728,1,7,14,14
3011ebb9134145de9189bc721ab0efc0,0,3,8,8
3011ebb9134145de9189bc721ab0efc0,0,7,6,6
90108bf618c043c98b7b2a01965f926a,1,3,9,9
248a5e2772f4473e9804da3cbeb9d129,0,3,6,8
90108bf618c043c98b7b2a01965f926a,1,7,2,2
4648526c0e6345b6aa8838b7bd894340,0,3,28,28
4648526c0e6345b6aa8838b7bd894340,0,7,46,46
e6f4203218c94e919dbac7ceeaf51a3a,0,3,1,8
e6f4203218c94e919dbac7ceeaf51a3a,0,7,2,2
813237f3fc16480bb2dc69929de65d1f,1,3,28,28
813237f3fc16480bb2dc69929de65d1f,1,7,42,44
d2f3eb1749be4f00a808c51cf61264c8,0,3,18,18
d2f3eb1749be4f00a808c51cf61264c8,0,7,14,14
a000fdf97917463f8722b86bc9aa8262,1,3,9,9
a000fdf97917463f8722b86bc9aa8262,1,7,10,10
7fe9597234d0459fa7fcfa9d0d5bd0ad,1,3,8,8
7fe9597234d0459fa7fcfa9d0d5bd0ad,1,7,30,30
7fe9597234d0459fa7fcfa9d0d5bd0ad,1,7,30,30
32b8780656f845b1bc7a39f3804d3642,0,3,15,15
32b8780656f845b1bc7a39f3804d3642,0,7,18,18
c11839439a184771945bf5a48121485b,1,3,4,28
5f903493b322439793f935e1f9fc8b2c,1,3,15,15
5f903493b322439793f935e1f9fc8b2c,1,7,2,2
6b72fe2de3f14ae2b7c2b591fae4fdcd,1,3,8,8
c11839439a184771945bf5a48121485b,1,7,34,34
6b72fe2de3f14ae2b7c2b591fae4fdcd,1,7,2,2
3d437120cddd43a79f3271254863ea2d,0,3,9,9
3d437120cddd43a79f3271254863ea2d,0,7,12,12
4172d1c5f8de44ab86aa72d44681d2a8,0,3,8,8
4172d1c5f8de44ab86aa72d44681d2a8,0,7,3,3
00593e0865b74f959096f3bc71e82010,0,3,8,8
0148e29e28d74d3eaa453719bba389b3,0,3,28,28
00593e0865b74f959096f3bc71e82010,0,7,14,14
0148e29e28d74d3eaa453719bba389b3,0,7,46,46
0148e29e28d74d3eaa453719bba389b3,0,7,46,46
cc2ed6abb57a435cb2a04db8fc4fdd80,0,3,18,18
08df4991366748f1ab464b0b23f02379,0,3,28,28
cc2ed6abb57a435cb2a04db8fc4fdd80,0,7,36,36
8d5ca00a87084d9f88c8b11c365df903,0,3,8,8
08df4991366748f1ab464b0b23f02379,0,7,46,46
8d5ca00a87084d9f88c8b11c365df903,0,7,30,30
5ee009bca0a14d3aa31b28ac54f2431f,0,3,28,28
5ee009bca0a14d3aa31b28ac54f2431f,0,7,46,46
c159277f2fb54b5592422914fcecae48,0,3,18,18
a36b9d9cad8942669ae51a2ac481b26e,1,3,8,8
c159277f2fb54b5592422914fcecae48,0,7,52,52
a36b9d9cad8942669ae51a2ac481b26e,1,7,2,2
2c854c9b35c5404db597b20972ded497,1,3,9,9
2c854c9b35c5404db597b20972ded497,1,7,2,2
