userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
15b6a535152f4a0780c4ac17381395eb,0,1,1,0,5,0,2,0,-1000,-1000,-1000,-1000,-1000,20,30
15b6a535152f4a0780c4ac17381395eb,0,1,2,0,5,0,1,0,-1000,-1000,-1000,-1000,-1000,30,40
15b6a535152f4a0780c4ac17381395eb,0,2,3,0,5,0,0,0,0,5,0,1,0,40,34
9857fcac62794cad85df5f7427248db5,0,1,1,0,5,0,2,0,-1000,-1000,-1000,-1000,-1000,20,30
c73a172ee44f4005aeafc8bae23faa70,1,1,1,0,0,0,6,0,0,0,0,2,0,20,14
c73a172ee44f4005aeafc8bae23faa70,1,1,2,0,0,0,0,6,0,0,1,0,6,14,8
c73a172ee44f4005aeafc8bae23faa70,1,2,3,0,0,6,0,0,0,0,6,0,1,8,2
c73a172ee44f4005aeafc8bae23faa70,1,2,4,3,3,0,0,0,3,3,1,0,0,2,2
c73a172ee44f4005aeafc8bae23faa70,1,3,5,2,1,1,1,1,2,3,1,1,1,2,6
c73a172ee44f4005aeafc8bae23faa70,1,3,6,2,1,1,1,1,2,3,1,1,1,6,10
c73a172ee44f4005aeafc8bae23faa70,1,4,7,2,1,1,1,1,2,3,1,1,1,10,14
c73a172ee44f4005aeafc8bae23faa70,1,4,8,2,1,1,1,1,2,3,1,1,1,14,18
9711c8bb53bd4fd99042b2d0c0dfbab2,0,1,1,1,1,1,0,0,1,1,0,0,0,20,14
c73a172ee44f4005aeafc8bae23faa70,1,5,9,2,1,1,1,1,2,3,1,1,1,18,22
9711c8bb53bd4fd99042b2d0c0dfbab2,0,1,2,0,6,6,6,0,0,6,6,4,0,14,8
c73a172ee44f4005aeafc8bae23faa70,1,5,10,1,2,1,1,1,1,3,1,1,1,22,26
c73a172ee44f4005aeafc8bae23faa70,1,6,11,2,2,2,0,0,2,2,2,0,1,26,20
9711c8bb53bd4fd99042b2d0c0dfbab2,0,2,3,0,0,0,0,6,0,0,1,0,6,8,2
c73a172ee44f4005aeafc8bae23faa70,1,6,12,2,1,1,1,1,2,3,1,1,1,20,24
9711c8bb53bd4fd99042b2d0c0dfbab2,0,2,4,6,0,0,0,0,6,0,0,1,0,2,2
9711c8bb53bd4fd99042b2d0c0dfbab2,0,3,5,2,1,1,1,1,2,3,1,1,1,2,6
9711c8bb53bd4fd99042b2d0c0dfbab2,0,3,6,6,1,1,1,1,6,3,1,1,1,6,10
9711c8bb53bd4fd99042b2d0c0dfbab2,0,4,7,6,3,1,1,1,6,5,1,1,1,10,17
9711c8bb53bd4fd99042b2d0c0dfbab2,0,4,8,6,3,1,1,1,6,5,1,1,1,17,24
9711c8bb53bd4fd99042b2d0c0dfbab2,0,5,9,6,5,1,1,1,-1000,-1000,-1000,-1000,-1000,24,34
9711c8bb53bd4fd99042b2d0c0dfbab2,0,5,10,6,5,1,1,1,-1000,-1000,-1000,-1000,-1000,34,44
53a4fc21c8024aedb8e4adab567f5a62,0,1,1,1,1,1,1,1,1,3,1,1,1,20,24
9711c8bb53bd4fd99042b2d0c0dfbab2,0,6,11,6,5,1,1,1,-1000,-1000,-1000,-1000,-1000,44,54
53a4fc21c8024aedb8e4adab567f5a62,0,1,2,2,2,2,0,0,2,2,2,0,1,24,18
9711c8bb53bd4fd99042b2d0c0dfbab2,0,6,12,6,5,1,1,1,-1000,-1000,-1000,-1000,-1000,54,64
964e4aaba5d046a3a473169b6eb5afd5,0,1,1,4,3,4,3,3,4,3,4,2,3,20,14
964e4aaba5d046a3a473169b6eb5afd5,0,1,2,2,3,2,4,4,2,3,2,2,4,14,8
964e4aaba5d046a3a473169b6eb5afd5,0,2,3,3,2,4,2,2,3,3,4,2,2,8,12
964e4aaba5d046a3a473169b6eb5afd5,0,2,4,3,3,5,2,2,3,5,5,2,2,12,19
964e4aaba5d046a3a473169b6eb5afd5,0,3,5,3,3,6,2,2,3,5,6,2,2,19,26
964e4aaba5d046a3a473169b6eb5afd5,0,3,6,3,3,6,2,3,3,5,6,2,3,26,33
964e4aaba5d046a3a473169b6eb5afd5,0,4,7,4,5,6,2,2,-1000,-1000,-1000,-1000,-1000,33,43
964e4aaba5d046a3a473169b6eb5afd5,0,4,8,4,6,6,2,2,4,5,6,2,2,43,37
964e4aaba5d046a3a473169b6eb5afd5,0,5,9,4,5,6,2,2,-1000,-1000,-1000,-1000,-1000,37,47
964e4aaba5d046a3a473169b6eb5afd5,0,5,10,4,5,6,2,2,-1000,-1000,-1000,-1000,-1000,47,57
964e4aaba5d046a3a473169b6eb5afd5,0,6,11,4,5,6,2,2,-1000,-1000,-1000,-1000,-1000,57,67
964e4aaba5d046a3a473169b6eb5afd5,0,6,12,4,5,6,2,2,-1000,-1000,-1000,-1000,-1000,67,77
7e4b4fe85d6b445597e0d7e71a6f00c8,1,1,1,1,1,5,5,1,1,1,5,6,1,20,14
7e4b4fe85d6b445597e0d7e71a6f00c8,1,1,2,6,6,0,0,6,6,6,0,1,6,14,8
7e4b4fe85d6b445597e0d7e71a6f00c8,1,2,3,6,6,6,6,6,6,5,6,2,6,8,2
7e4b4fe85d6b445597e0d7e71a6f00c8,1,2,4,0,6,0,0,1,0,6,1,0,1,2,2
e945b7829bd64551b39e4f963525b019,0,1,1,6,0,0,0,0,6,0,0,1,0,20,15
e945b7829bd64551b39e4f963525b019,0,1,2,0,6,0,0,0,0,6,0,1,0,15,9
