userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
53a4fc21c8024aedb8e4adab567f5a62,0,1,1,5964,43857,26701,20473
53a4fc21c8024aedb8e4adab567f5a62,0,1,2,5964,43857,23051,20473
964e4aaba5d046a3a473169b6eb5afd5,0,1,1,3661,22381,16101,25540
964e4aaba5d046a3a473169b6eb5afd5,0,1,2,3661,22381,17997,25540
964e4aaba5d046a3a473169b6eb5afd5,0,2,3,3661,22381,14596,22060
964e4aaba5d046a3a473169b6eb5afd5,0,2,4,3661,22381,15365,22060
964e4aaba5d046a3a473169b6eb5afd5,0,3,5,3661,22381,12715,11168
964e4aaba5d046a3a473169b6eb5afd5,0,3,6,3661,22381,12799,11168
964e4aaba5d046a3a473169b6eb5afd5,0,4,7,3661,22381,12335,20900
964e4aaba5d046a3a473169b6eb5afd5,0,4,8,3661,22381,12156,20900
964e4aaba5d046a3a473169b6eb5afd5,0,5,9,3661,22381,14320,11105
964e4aaba5d046a3a473169b6eb5afd5,0,5,10,3661,22381,18086,11105
964e4aaba5d046a3a473169b6eb5afd5,0,6,11,3661,22381,14247,10924
964e4aaba5d046a3a473169b6eb5afd5,0,6,12,3661,22381,11872,10924
7e4b4fe85d6b445597e0d7e71a6f00c8,1,1,1,1266,38350,25955,11396
7e4b4fe85d6b445597e0d7e71a6f00c8,1,1,2,1266,38350,16605,11396
7e4b4fe85d6b445597e0d7e71a6f00c8,1,2,3,1266,38350,10806,10933
7e4b4fe85d6b445597e0d7e71a6f00c8,1,2,4,1266,38350,10564,10933
7e4b4fe85d6b445597e0d7e71a6f00c8,1,3,5,1266,38350,3704,10834
7e4b4fe85d6b445597e0d7e71a6f00c8,1,3,6,1266,38350,1866,10834
7e4b4fe85d6b445597e0d7e71a6f00c8,1,4,7,1266,38350,4176,10865
7e4b4fe85d6b445597e0d7e71a6f00c8,1,4,8,1266,38350,1971,10865
7e4b4fe85d6b445597e0d7e71a6f00c8,1,5,9,1266,38350,3567,10757
7e4b4fe85d6b445597e0d7e71a6f00c8,1,5,10,1266,38350,13982,10757
7e4b4fe85d6b445597e0d7e71a6f00c8,1,6,11,1266,38350,7445,11017
7e4b4fe85d6b445597e0d7e71a6f00c8,1,6,12,1266,38350,11195,11017
e945b7829bd64551b39e4f963525b019,0,1,1,1465,21397,21029,15597
e945b7829bd64551b39e4f963525b019,0,1,2,1465,21397,4843,15597
e945b7829bd64551b39e4f963525b019,0,2,3,1465,21397,3363,10779
e945b7829bd64551b39e4f963525b019,0,2,4,1465,21397,10297,10779
e945b7829bd64551b39e4f963525b019,0,3,5,1465,21397,2375,11514
e945b7829bd64551b39e4f963525b019,0,3,6,1465,21397,7980,11514
e945b7829bd64551b39e4f963525b019,0,4,7,1465,21397,2678,11357
e945b7829bd64551b39e4f963525b019,0,4,8,1465,21397,8888,11357
e945b7829bd64551b39e4f963525b019,0,5,9,1465,21397,6763,11000
e945b7829bd64551b39e4f963525b019,0,5,10,1465,21397,16836,11000
e945b7829bd64551b39e4f963525b019,0,6,11,1465,21397,76712,21155
e945b7829bd64551b39e4f963525b019,0,6,12,1465,21397,9721,21155
bc4b84f131c24fafad926ce4429c0dfe,1,1,1,7747,25511,14170,10842
bc4b84f131c24fafad926ce4429c0dfe,1,1,2,7747,25511,4858,10842
bc4b84f131c24fafad926ce4429c0dfe,1,2,3,7747,25511,4278,14118
bc4b84f131c24fafad926ce4429c0dfe,1,2,4,7747,25511,7776,14118
