userId,group,trialNo,userInput,shubNo
akfl,P,5,22,22
akfl,P,11,22,22
mqxp,P,5,5,4
mqxp,P,11,20,17
rgho,C,5,2,2
rgho,C,11,18,20
sagb,C,5,2,2
sagb,C,11,13,13
