userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
9d673a6ed17042b88756047944809447,1,2,4,0,4,0,1,1,0,4,0,1,4,2,2
9d673a6ed17042b88756047944809447,1,3,5,0,4,0,1,1,0,4,0,1,4,2,2
9d673a6ed17042b88756047944809447,1,3,6,0,0,0,0,0,0,0,1,1,0,2,2
9d673a6ed17042b88756047944809447,1,4,7,0,0,1,4,0,0,0,1,2,0,2,2
9d673a6ed17042b88756047944809447,1,4,8,0,2,2,2,0,0,4,2,1,4,2,2
9d673a6ed17042b88756047944809447,1,5,9,0,2,1,1,2,1,3,1,0,4,2,2
9d673a6ed17042b88756047944809447,1,5,10,1,4,1,1,1,1,4,1,1,4,2,2
9d673a6ed17042b88756047944809447,1,6,11,0,6,1,1,6,0,5,1,0,6,2,2
883f7ba094f840c5a5404856e94a69be,1,1,1,0,0,0,6,4,0,1,0,6,6,10,10
9d673a6ed17042b88756047944809447,1,6,12,6,6,6,6,6,6,5,6,6,6,2,2
883f7ba094f840c5a5404856e94a69be,1,1,2,2,2,1,5,0,3,3,1,5,0,10,5
883f7ba094f840c5a5404856e94a69be,1,2,3,0,0,0,6,4,0,1,0,6,6,5,5
883f7ba094f840c5a5404856e94a69be,1,2,4,0,0,0,6,4,0,1,0,6,6,5,5
4dd8f62dc0ff4caebca68f0dbc48accc,1,1,1,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,1,2,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,2,3,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,2,4,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,5,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,6,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,4,7,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,4,8,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,5,9,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,5,10,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,6,11,0,0,0,6,4,0,1,0,6,6,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,6,12,0,1,0,6,3,0,1,0,6,6,10,5
43393b6f76eb4d118e882f915235769b,1,1,1,0,0,0,0,0,0,0,1,1,0,10,4
43393b6f76eb4d118e882f915235769b,1,1,2,0,0,0,0,2,0,0,0,0,4,4,2
43393b6f76eb4d118e882f915235769b,1,2,3,0,0,0,3,0,0,0,1,2,0,2,2
43393b6f76eb4d118e882f915235769b,1,2,4,0,0,0,2,0,0,4,0,2,4,2,2
43393b6f76eb4d118e882f915235769b,1,3,5,0,0,0,0,2,0,0,0,0,4,2,2
43393b6f76eb4d118e882f915235769b,1,3,6,0,0,0,2,0,0,4,0,2,4,2,2
f745453fc9644f179c88b411066a437e,1,1,1,1,0,2,1,1,1,3,1,0,4,10,13
f745453fc9644f179c88b411066a437e,1,1,2,3,0,3,3,0,3,0,2,2,0,13,7
f745453fc9644f179c88b411066a437e,1,2,3,0,2,0,0,4,0,2,0,1,3,7,8
f745453fc9644f179c88b411066a437e,1,2,4,2,0,2,2,0,2,3,3,3,4,8,11
f745453fc9644f179c88b411066a437e,1,3,5,2,2,2,2,3,2,3,3,3,4,11,15
5655c934794d4a29bc73177e33e17292,0,1,1,6,3,0,0,0,6,3,0,2,0,10,6
f745453fc9644f179c88b411066a437e,1,3,6,3,2,2,2,3,3,3,3,2,4,15,20
6edb792de08b48658196002a446ce735,0,1,1,0,0,0,1,0,0,4,0,1,4,10,13
5655c934794d4a29bc73177e33e17292,0,1,2,0,0,0,6,3,0,0,0,5,5,6,3
f745453fc9644f179c88b411066a437e,1,4,7,4,4,4,3,5,4,5,4,4,5,20,30
f745453fc9644f179c88b411066a437e,1,4,8,6,6,6,6,6,6,5,6,6,6,30,27
6edb792de08b48658196002a446ce735,0,1,2,3,2,3,4,3,3,2,3,4,4,13,7
f745453fc9644f179c88b411066a437e,1,5,9,5,5,5,5,5,-1000,-1000,-1000,-1000,-1000,27,45
5655c934794d4a29bc73177e33e17292,0,2,3,0,0,0,5,5,0,1,1,5,5,3,3
f745453fc9644f179c88b411066a437e,1,5,10,6,6,6,6,6,6,5,6,6,6,45,41
5655c934794d4a29bc73177e33e17292,0,2,4,0,5,0,5,5,-1000,-1000,-1000,-1000,-1000,3,5
6edb792de08b48658196002a446ce735,0,2,3,3,2,3,2,3,3,3,3,2,4,7,9
f745453fc9644f179c88b411066a437e,1,6,11,6,5,6,5,6,-1000,-1000,-1000,-1000,-1000,41,68
cf057adf72e7419a8a50bf0c521c5cf6,1,1,1,4,6,6,5,5,3,5,6,5,6,10,6
6edb792de08b48658196002a446ce735,0,2,4,1,1,1,2,2,1,3,1,3,4,9,12
f745453fc9644f179c88b411066a437e,1,6,12,6,5,6,5,6,-1000,-1000,-1000,-1000,-1000,68,113
cf057adf72e7419a8a50bf0c521c5cf6,1,1,2,3,3,2,3,3,3,3,2,2,2,6,3
5655c934794d4a29bc73177e33e17292,0,3,5,0,5,1,5,5,-1000,-1000,-1000,-1000,-1000,5,8
6edb792de08b48658196002a446ce735,0,3,5,3,3,2,2,2,3,3,3,2,4,12,16
5655c934794d4a29bc73177e33e17292,0,3,6,0,5,0,5,5,-1000,-1000,-1000,-1000,-1000,8,13
cf057adf72e7419a8a50bf0c521c5cf6,1,2,3,3,3,2,3,3,3,3,2,2,2,3,2
6edb792de08b48658196002a446ce735,0,3,6,2,3,3,2,2,2,3,3,3,4,16,22
cf057adf72e7419a8a50bf0c521c5cf6,1,2,4,3,3,2,3,3,3,3,2,2,2,2,2
cf057adf72e7419a8a50bf0c521c5cf6,1,3,5,3,3,2,3,3,3,3,2,2,2,2,2
5655c934794d4a29bc73177e33e17292,0,4,7,1,5,0,5,4,-1000,-1000,-1000,-1000,-1000,13,21
cf057adf72e7419a8a50bf0c521c5cf6,1,3,6,2,2,2,2,2,2,3,3,3,4,2,2
6edb792de08b48658196002a446ce735,0,4,7,4,4,2,3,3,4,4,2,3,4,22,12
5655c934794d4a29bc73177e33e17292,0,4,8,1,5,0,5,4,-1000,-1000,-1000,-1000,-1000,21,35
cf057adf72e7419a8a50bf0c521c5cf6,1,4,7,2,2,2,2,2,2,3,3,3,4,2,2
cf057adf72e7419a8a50bf0c521c5cf6,1,4,8,2,2,2,2,2,2,3,3,3,4,2,2
cf057adf72e7419a8a50bf0c521c5cf6,1,5,9,2,2,2,2,2,2,3,3,3,4,2,2
5655c934794d4a29bc73177e33e17292,0,5,9,1,5,0,5,4,-1000,-1000,-1000,-1000,-1000,35,58
6edb792de08b48658196002a446ce735,0,4,8,6,6,4,3,3,6,6,4,3,4,12,8
cf057adf72e7419a8a50bf0c521c5cf6,1,5,10,2,2,2,2,2,2,3,3,3,4,2,2
